facility_name,facility_type,source_url,source_organization,verification_date,current_status,former_name,notes
Care First Clinic,primary_care,https://www.carefirstclinic.com/,Care First Clinic,2026-09-15,Verified Current,,"Official clinic website lists Liberty Hill address, phone, contact page, current hours, and primary care services. | Coordinates populated from U.S. Census geocoder using the listed official address."
Care First Clinic,urgent_care,https://www.carefirstclinic.com/,Care First Clinic,2026-09-15,Verified Current,,"Official clinic website lists Liberty Hill address, phone, contact page, current hours, and urgent care or walk-in services. | Coordinates populated from U.S. Census geocoder using the listed official address."
ARC Liberty Hill,primary_care,https://www.austinregionalclinic.com/clinics/liberty-hill,Austin Regional Clinic,2026-09-15,Verified Current,,"Official Austin Regional Clinic page lists address, phone, hours, specialties, and on-site services. | Coordinates populated from U.S. Census geocoder using the listed official address."
CareNow Urgent Care - Liberty Hill,urgent_care,https://www.carenow.com/locations/austin/liberty-hill,CareNow,2026-09-15,Rebranded,Texas MedClinic,"Official CareNow location page lists the Liberty Hill address, phone, services, and notes that former Texas MedClinic clinics became CareNow as of August 1. | Coordinates populated from U.S. Census geocoder using the listed official address."
ARC Leander,primary_care,https://www.austinregionalclinic.com/clinics/leander,Austin Regional Clinic,2026-09-15,Verified Current,,"Official Austin Regional Clinic page lists address, phone, hours, specialties, and on-site services. | Coordinates populated from U.S. Census geocoder using the listed official address."
Baylor Scott & White Clinic - Leander,primary_care,https://www.bswhealth.com/locations/clinic/leander,Baylor Scott & White Health,2026-09-15,Verified Current,,"Official Baylor Scott & White clinic page lists address, phone, clinic hours, and primary care services. | Coordinates populated from U.S. Census geocoder using the listed official address."
CareNow Urgent Care - Leander,urgent_care,https://www.carenow.com/locations/austin/leander,CareNow,2026-09-15,Verified Current,,"Official CareNow location page lists address, phone, hours, and services; directions link exposes coordinates."
St. David's Emergency Center - Leander,emergency_department,https://www.stdavids.com/locations/st-davids-emergency-center-leander,St. David's HealthCare,2026-09-15,Verified Current,,"Official St. David's location page lists address, phone, open 24 hours status, and emergency services; directions link exposes coordinates."
Ascension Seton Cedar Park Hospital,hospital,https://healthcare.ascension.org/locations/texas/txaus/cedar-park-ascension-seton-cedar-park-hospital,Ascension,2026-09-16,Verified Current,,"Official Ascension hospital page lists the hospital name, address, phone, 24/7 hours, emergency care, surgical care, stroke care, orthopedics, women's health, imaging, and lab services. Included on the map as a regional comparison hospital even though it is beyond the default 10-mile study radius. | Coordinates populated from U.S. Census geocoder using the listed official address."
St. David's Georgetown Hospital,hospital,https://www.stdavids.com/locations/st-davids-georgetown-hospital,St. David's HealthCare,2026-09-15,Verified Current,,"Official St. David's hospital page lists address, phone, hospital services, and emergency department capabilities. | Coordinates populated from U.S. Census geocoder using the listed official address."
